Llistat del pla docent per estudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre: ;;;6 - Facultat de Ciències, Tecnologia i Enginyeries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudi: ;;;Tots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curs acadèmic: ;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identificador element;Centre;Descripció del Centre;Pla;Descripció del Pla;Codi de l'assignatura;Assignatura;Curs;Tipus de l?assignatura;Crèdits ECTS;Classe;Categoria;Tipologia;Grup;Observacions;Estudiants matriculats;places;Estudiants previstos assignatura;Estudiants màxim propis grup;Hores previstes per grup;Tipus del període;Valor del període;Torn;Idioma;Modalitat;Matricula Out;Altres plans de l?assignatura;Criteri d?assignació;Grup pare;EstudiGrup pare;Macrogrups fills;Matriculats fills;Identificador elementFill1;Identificador elementFill2;Identificador elementFill3;Identificador elementFill4;Identificador elementFill5;Identificador elementFill6;Identificador elementFill7;Identificador elementFill8;Identificador elementFill9;Identificador elementFill10;Identificador elementFill11;Identificador elementFill12;Identificador elementFill13;Identificador elementFill14;Identificador elementFill15;Identificador elementFill16;Identificador elementFill17;Identificador elementFill18;Identificador elementFill19;Identificador elementFill20;Identificador elementFill21;Identificador elementFill22;Identificador elementFill23
25_13074_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13074;Física Elèctrica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;30;40;30;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13074_1601;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13074;Física Elèctrica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1601; ;0;30;40;30;60;S;2;Torn Matí;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13075_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13075;Electrònica Bàsica;  ;Normal;6;Obligatòria;NO ESTÀNDARD;Grup Classe;15; ;56;60;30;60;160;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13075_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13075;Electrònica Bàsica;  ;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;20;30;20;80;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13075_1502;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13075;Electrònica Bàsica;  ;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1502; ;0;20;30;20;80;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13075_1503;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13075;Electrònica Bàsica;  ;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1503; ;0;20;30;20;80;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13077_11;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13077;Biologia;1;Normal;6;Formació bàsica;ESTÀNDARD;Grup Classe;11; ;59;70;40;70;0;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;30_13369_11;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13077_12;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13077;Biologia;1;Normal;6;Formació bàsica;ESTÀNDARD;Grup Classe;12; ;0;0;40;0;0;S;1;Torn Matí;Català;Presencial;0;;Alternància;0;30_13369_12;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13078_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13078;Matemàtiques I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;15; ;40;75;40;75;180;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13078_16;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13078;Matemàtiques I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;16; ;34;60;40;60;180;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
